Category,ID,Type,Question,Answer
카테고리 A — 출결 (Attendance),A01,단순,정상 출석 기준은 무엇인가요?,일 8시간 교육에 참여해야 정상 출석으로 인정됩니다.
카테고리 A — 출결 (Attendance),A02,단순,지각은 어떻게 정의되나요?,오전 09:10 이후에 출석체크를 한 경우 지각으로 처리됩니다.
카테고리 A — 출결 (Attendance),A03,단순,결석 기준은 무엇인가요?,지각·외출·조퇴 등으로 인해 하루 동안 4시간 미만(점심시간 제외) 교육에 참여한 경우 결석 처리됩니다.
카테고리 A — 출결 (Attendance),A04,단순,수료하기 위해 필요한 최소 출석률은 얼마인가요?,전체 교육 일수의 80% 이상 출석해야 수료가 가능합니다.
카테고리 A — 출결 (Attendance),A05,조건부,지각 3번을 했습니다. 불이익이 있나요?,"네, 지각·조퇴·외출이 3회 누적되면 1일 결석으로 처리됩니다."
카테고리 A — 출결 (Attendance),A06,조건부,"오늘 지각 2시간, 외출 1시간, 조퇴 1시간 30분이 있었습니다. 오늘은 결석인가요?","네, 결석입니다. 지각·외출·조퇴 합계가 4시간 이상(점심시간 제외)이면 해당일은 결석 처리됩니다. 위 경우 합계 4시간 30분으로 결석 기준에 해당합니다."
카테고리 A — 출결 (Attendance),A07,절차,HRD-Net 앱으로 출석하려면 어떤 사전 준비가 필요한가요?,HRD-Net 앱을 다운로드한 후 로그인과 실명 인증을 완료해야 합니다.
카테고리 A — 출결 (Attendance),A08,절차,아침 출석(입실) 절차를 설명해주세요.,08:50~09:10 사이에 HRD-Net 앱을 실행하여 QR 버튼 → 입실 선택 → ZOOM 강의실에 공유된 QR 코드를 HRD-Net 앱 자체 스캐너로 스캔하면 체크인 완료됩니다.
카테고리 A — 출결 (Attendance),A09,절차,퇴실 처리를 하지 않으면 어떻게 되나요?,퇴장하기를 미진행하면 해당일은 결석 처리됩니다.
카테고리 A — 출결 (Attendance),A10,단순,HRD-Net 앱 대신 네이버나 카카오 기본 카메라로 QR을 스캔해도 되나요?,안 됩니다. 반드시 HRD-Net 앱 자체 스캐너 기능을 사용해야 합니다.
카테고리 A — 출결 (Attendance),A11,단순,출석 정정이 가능한가요?,"시스템 오류 등 특수한 경우 통합신청센터를 통해 출석 정정 신청이 가능하지만, 개인 불찰로 인한 정정은 불가능합니다."
카테고리 A — 출결 (Attendance),A12,절차,외출 시 출석 처리를 어떻게 해야 하나요?,외출 시에는 **출석 → 외출 출발 → 복귀 → 퇴실** 총 4회의 기록을 남겨야 합니다. 미입력 시 부정출결로 간주되어 해당일 결석 처리됩니다.
카테고리 A — 출결 (Attendance),A13,절차,조퇴 시 출석 처리는 어떻게 하나요?,조퇴 시에는 **출석 → 퇴실** 총 2회의 기록을 남겨야 합니다.
카테고리 A — 출결 (Attendance),A14,조건부,경조사가 있어서 당일에 출석 인정 신청을 할 수 있나요?,"네, 경조사(결혼·사망)의 경우에 한해 당일 신청이 가능합니다."
카테고리 A — 출결 (Attendance),A15,조건부,예비군 훈련 때문에 결석해야 합니다. 언제까지 신청해야 하나요?,예비군은 당일 신청이 불가능한 사유입니다. 평일 기준 해당일 **3일 전까지** 통합신청센터에 출석 인정 사전 신청을 해야 합니다.
카테고리 A — 출결 (Attendance),A16,조건부,"아파서 병원에 가야 하는데, 당일에 출석 인정 신청이 가능한가요?","질병(병가)의 경우 당일 신청이 가능합니다. 출석 기준 진행 방법 페이지에 따르면 질병은 당일 신청 특례 대상입니다. (※ 단, 전체 소정훈련일수의 10%까지만 공가 인정)"
카테고리 A — 출결 (Attendance),A17,단순,질병 공가(병가)의 최대 인정 일수는 어떻게 되나요?,전체 소정훈련일수의 10%까지만 가능합니다. 단위기간 기준이 아닌 전체 기준으로 판단합니다.
카테고리 A — 출결 (Attendance),A18,단순,미용 목적의 치과 진료나 피부과 진료는 공가로 인정되나요?,아닙니다. 미용 목적의 치과 진료와 피부과 진료는 공가(질병) 사유에 해당하지 않습니다.
카테고리 A — 출결 (Attendance),A19,절차,출석 인정 신청을 변경하거나 취소하려면 어떻게 하나요?,해당일 1일 전까지 통합신청센터를 통해 변경 또는 취소 신청이 가능합니다.
카테고리 A — 출결 (Attendance),A20,단순,본인의 출결 현황은 어디서 확인할 수 있나요?,HRD-Net 앱에서 본인의 출결 현황을 직접 확인할 수 있습니다.
카테고리 B — 교육일정 (Schedule),B01,단순,카카오테크 부트캠프 4기의 전체 교육 기간은 어떻게 되나요?,2026년 5월 12일부터 2026년 11월 17일까지입니다. (약 6개월)
카테고리 B — 교육일정 (Schedule),B02,단순,교육 상태는 현재 어떻게 되나요?,현재 '교육 중'입니다.
카테고리 B — 교육일정 (Schedule),B03,단순,ZOOM 강의실 비밀번호는 무엇인가요?,"ZOOM 비밀번호는 `9999`로, 모든 트랙 공통입니다."
카테고리 B — 교육일정 (Schedule),B04,단순,AI 실무 개발 트랙의 LMS 초대코드는 무엇인가요?,AI 실무 개발 트랙의 LMS 초대코드는 `ASwh1V`입니다.
카테고리 B — 교육일정 (Schedule),B05,단순,풀스택 트랙의 LMS 초대코드는 무엇인가요?,풀스택 트랙의 LMS 초대코드는 `mnBktS`입니다.
카테고리 B — 교육일정 (Schedule),B06,단순,클라우드 네이티브 트랙의 LMS 초대코드는 무엇인가요?,클라우드 네이티브 트랙의 LMS 초대코드는 `yTRaNJ`입니다.
카테고리 B — 교육일정 (Schedule),B07,비교,AI 실무 개발 트랙과 풀스택 트랙의 특화 지원 항목 차이는 무엇인가요?,"AI 실무 개발 트랙은 Gen AI 구독료 + Colab Pro+ 구독료를 지원하는 반면, 풀스택 트랙은 Gen AI 구독료만 지원합니다."
카테고리 B — 교육일정 (Schedule),B08,비교,클라우드 네이티브 트랙만 특별히 지원하는 항목이 있나요?,"네, 클라우드 네이티브 트랙은 Gen AI 구독료와 AWS 사용료를 지원합니다. 다른 트랙(풀스택, AI 실무 개발)에는 AWS 사용료 지원이 없습니다."
카테고리 B — 교육일정 (Schedule),B09,단순,인공지능 과정의 토요일 수업 기간은 언제인가요?,5월 16일부터 6월 13일까지 토요일 수업이 있습니다.
카테고리 B — 교육일정 (Schedule),B10,단순,교육 중도 포기는 어떻게 신청하나요?,통합신청센터를 통해 중도 포기 및 수강 철회 신청이 가능합니다.
카테고리 B — 교육일정 (Schedule),B11,단순,수료 조건은 무엇인가요?,전체 교육 일수의 80% 이상 출석해야 수료가 가능합니다.
카테고리 B — 교육일정 (Schedule),B12,단순,성장격려금은 무엇인가요?,교육 수료 후 지급되는 추가 지원금입니다. (구체적 기준은 Notion DB에 별도 등록)
카테고리 B — 교육일정 (Schedule),B13,단순,LMS(학습 관리 시스템)는 어떻게 접속하나요?,LMS는 내비게이션의 '카카오테크 부트캠프 (LMS)' 링크를 통해 접속 가능합니다. 트랙별 초대코드가 필요합니다.
카테고리 B — 교육일정 (Schedule),B14,단순,ZEP 플랫폼의 비밀번호는 무엇인가요?,ZEP 비밀번호는 `9999`입니다.
카테고리 B — 교육일정 (Schedule),B15,단순,전체 교육 기간은 몇 개월인가요?,약 6개월입니다. (2026.05.12 ~ 2026.11.17)
카테고리 B — 교육일정 (Schedule),B16,조건부,6월 18일 기준으로 수료까지 며칠 남았나요?,(2026년 6월 18일 기준) 수료까지 152일 남았습니다.
카테고리 B — 교육일정 (Schedule),B17,단순,교육 후 수료생에게 어떤 혜택이 있나요?,"수료 안내에 따라 수료증이 발급되며, 성장격려금이 지급됩니다. (성장격려금의 구체적 기준은 별도 DB 확인 필요)"
카테고리 B — 교육일정 (Schedule),B18,단순,각 트랙의 ZOOM 비밀번호가 다른가요?,"아닙니다. 모든 트랙(풀스택, AI 실무 개발, 클라우드 네이티브)의 ZOOM 비밀번호는 동일하게 `9999`입니다."
카테고리 B — 교육일정 (Schedule),B19,비교,"세 트랙(풀스택, AI, 클라우드)의 교육 기간이 다른가요?","아닙니다. 세 트랙 모두 동일한 기간(2026.05.12 ~ 2026.11.17)이며, 모두 '교육 중' 상태입니다."
